,BUILDERS,SIZE,PROPERTY_TYPE,PROPERTY_ADDRESS,CITY,AREA,RATE_SQFT,PRICE,CONSTRUCTION_STATUS,LISTED_BY
1828,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,920 ,"8,171", 75.17 L,Under Construction,AGENT
1829,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,820 ,"8,170", 67 L,Under Construction,AGENT
1830,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,820 ,"8,170", 67 L,Under Construction,AGENT
1831,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,918 ,"8,171", 75 L,Under Construction,AGENT
1832,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,918 ,"8,171", 75 L,Under Construction,AGENT
1833,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,874 ,"8,171", 71.41 L,Under Construction,AGENT
1834,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,874 ,"8,171", 71.41 L,Under Construction,AGENT
1835,INSTAPROPAGENT0,1 BHK,Apartment,Mugalivakkam,Chennai,622 ,"7,877", 49 L,Under Construction,AGENT
1836,INSTAPROPAGENT0,1 BHK,Apartment,Mugalivakkam,Chennai,622 ,"7,877", 49 L,Under Construction,AGENT
1837,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,878 ,"8,171", 71.74 L,Under Construction,AGENT
1838,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,878 ,"8,171", 71.74 L,Under Construction,AGENT
1839,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,861 ,"8,171", 70.35 L,Under Construction,AGENT
1840,INSTAPROPAGENT0,2 BHK,Apartment,Mugalivakkam,Chennai,861 ,"8,171", 70.35 L,Under Construction,AGENT
1841,PROPLEAFAGENT0,3 BHK,ApartmentPorur,Porur,Chennai,1116 ,"6,350", 70.86 L,Under Construction,AGENT
1842,PROPLEAFAGENT0,3 BHK,ApartmentPorur,Porur,Chennai,1190 ,"6,350", 75.56 L,Under Construction,AGENT
1843,PROPLEAFAGENT0,3 BHK,ApartmentPorur,Porur,Chennai,1268 ,"6,350", 80.51 L,Under Construction,AGENT
1844,PROPLEAFAGENT0,3 BHK,ApartmentPorur,Porur,Chennai,1287 ,"6,350", 81.72 L,Under Construction,AGENT
1845,ARB HOMESAGENT0,3 BHK,Apartment,Agaramthen,Chennai,1305 ,"4,399", 57.4 L,Under Construction,AGENT
1846,ARB HOMESAGENT0,3 BHK,Apartment,Agaramthen,Chennai,1305 ,"4,399", 57.4 L,Under Construction,AGENT
1847,ARB HOMESAGENT0,2 BHK,Apartment,Agaramthen,Chennai,891 ,"4,399", 39.19 L,Under Construction,AGENT
1848,ARB HOMESAGENT0,2 BHK,Apartment,Agaramthen,Chennai,891 ,"4,399", 39.19 L,Under Construction,AGENT
1849,ARB HOMESAGENT0,3 BHK,Apartment,Agaramthen,Chennai,1056 ,"4,399", 46.45 L,Under Construction,AGENT
1850,ARB HOMESAGENT0,3 BHK,Apartment,Agaramthen,Chennai,1056 ,"4,399", 46.45 L,Under Construction,AGENT
1851,ARB HOMESAGENT0,3 BHK,Apartment,Agaramthen,Chennai,1305 ,"4,399", 57.4 L,Under Construction,AGENT
1852,ARB HOMESAGENT0,2 BHK,Apartment,Agaramthen,Chennai,891 ,"4,399", 39.19 L,Under Construction,AGENT
1853,ARB HOMESAGENT0,3 BHK,Apartment,Agaramthen,Chennai,1056 ,"4,399", 46.45 L,Under Construction,AGENT
1854,PraveenOWNER,2 BHK,ApartmentSembakkam,Sembakkam,Chennai,1050 ,"5,523", 58 L,Under Construction,OWNER
1855,ALAMELUOWNER,2 BHK,Independent,Peerakankaranai,Chennai,800 ,"4,050", 32.4 L,Under Construction,OWNER
1856,ALAMELUOWNER,2 BHK,Independent,Peerakankaranai,Chennai,800 ,"4,050", 32.4 L,Under Construction,OWNER
1857,JayalakshmiBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,750 ,"3,988", 29.91 L,Under Construction,BUILDER
1858,JayalakshmiBUILDER0,2 BHK,Independent,Chengalpattu,Chennai,683 ,"4,527", 30.92 L,Under Construction,BUILDER
